10,19
20,25.1
30,24.3
40,25.3
50,26.8
60,26.2
70,26.6
80,25.8
90,25.1
100,27.4
110,27.7
120,29.2
130,28.3
140,26.3
150,25.2
160,25.7
170,27.6
180,27.5
190,24.9
200,26.9
210,26.4
220,26.4
230,27.4
240,27.6
250,26.9
260,26.3
270,28.1
280,29.1
290,29.2
300,25.9
310,27.3
320,28.7
330,27.6
340,29.7
350,28.7
360,32.6
370,30.6
380,32.7
390,30.4
400,28.8
410,27.9
420,27.6
430,28.8
440,28.3
450,33.1
460,31
470,29.5
480,30.1
490,33.5
500,32.1
510,32.1
520,33.6
530,34.3
540,29.1
550,30.9
560,31.7
570,36.9
580,28.9
590,33.5
600,31.5
610,33.7
620,32.6
630,33.5
640,34.4
650,35.6
660,31.6
670,34.3
680,31.7
690,34.1
700,35.8
710,34.5
720,35.2
730,35.2
740,32.1
750,39.2
760,32.3
770,34
780,34.1
790,34.6
800,36.1
810,33.1
820,35.3
830,38.3
840,34.1
850,36.1
860,37.7
870,39
880,35.1
890,32.4
900,37.9
910,33
920,37.7
930,39.7
940,40.1
950,33.8
960,41.4
970,37.4
980,39
990,36.1
1000,39.6
1010,39
1020,40.6
1030,34
1040,44.1
1050,40.6
1060,39.9
1070,44.1
1080,45.5
1090,38.1
1100,39
1110,39
1120,42
1130,38.9
1140,37.5
1150,43
1160,44.8
1170,40.1
1180,45.7
1190,40.8
1200,46.9
1210,41.1
1220,41.1
1230,39.9
1240,50.8
1250,46.6
1260,51.2
1270,41.8
1280,49.3
1290,40.1
1300,46.6
1310,40.9
1320,44
1330,43.3
1340,42.1
1350,43.4
1360,45.3
1370,42.5
1380,45.9
1390,47.6
1400,48.9
1410,45
1420,46.2
1430,45.4
1440,47.5
1450,49.9
1460,51
1470,48.3
1480,50.4
1490,51.4
1500,44.5
1510,42.9
1520,43.1
1530,43.4
1540,50.9
1550,55.4
1560,48.3
1570,47.6
1580,49.9
1590,48.4
1600,50.9
1610,52.9
1620,46.2
1630,59.5
1640,47.4
1650,49.6
1660,56.4
1670,44.4
1680,47.9
1690,54.6
1700,56.1
1710,57.4
1720,60.1
1730,52.5
1740,54
1750,62.8
1760,54.5
1770,54.6
1780,58.2
1790,49
1800,58.4
1810,50.9
1820,59.4
1830,59.8
1840,46.3
1850,58.6
1860,54
1870,56.4
1880,52.7
1890,61.7
1900,51
1910,46
1920,54.6
1930,48.1
1940,54.2
1950,60.7
1960,60.1
1970,49.9
1980,57.3
1990,66.9
2000,57.9
2010,52.6
2020,58.4
2030,52.6
2040,51
2050,56.1
2060,51.7
2070,71
2080,53.7
2090,48.6
2100,56.5
2110,53.6
2120,50.4
2130,47.4
2140,48.2
2150,52.4
2160,61.8
2170,50.2
2180,49
2190,53.3
2200,52.5
2210,64.1
2220,50.5
2230,56.9
2240,65.7
2250,56.7
2260,46.9
2270,53.1
2280,51.8
2290,54.5
2300,54.9
2310,50.3
2320,55.4
2330,52.1
2340,53.6
2350,60.5
2360,60.9
2370,50.3
2380,57.9
2390,55.9
2400,55.3
2410,56.5
2420,57
2430,59.9
2440,58.7
2450,53.4
2460,51.8
2470,49.1
2480,49.2
2490,56.8
2500,62.1
2510,53.2
2520,67
2530,67.4
2540,53.5
2550,63.1
2560,51.2
2570,59.1
2580,55.1
2590,54.3
2600,47.5
2610,56.1
2620,55
2630,58
2640,56.5
2650,52.3
2660,57.8
2670,53.6
2680,54
2690,58.3
2700,52.1
2710,54.3
2720,62.6
2730,49.5
2740,56.2
2750,57.4
2760,53.9
2770,49.9
2780,56.3
2790,59.4
2800,58.3
2810,45.1
2820,50.4
2830,53.6
2840,46.9
2850,58.6
2860,46.2
2870,52.5
2880,55.2
2890,53.2
2900,57.6
2910,61
2920,57.7
2930,51.9
2940,63.4
2950,52
2960,58.3
2970,57.9
2980,69.2
2990,50.2
3000,54.2
3010,55.1
3020,59.3
3030,54.8
3040,53.9
3050,50.7
3060,57.3
3070,52.8
3080,57.2
3090,62.4
3100,62.6
3110,53
3120,54.1
3130,61
3140,68.3
3150,52.8
3160,60.1
3170,60
3180,54.3
3190,64.9
3200,59.7
3210,56.1
3220,61.1
3230,52.2
3240,51.1
3250,54.1
3260,48.6
3270,60.5
3280,53.3
3290,53.8
3300,54.2
3310,49.5
3320,54.1
3330,64.4
3340,60.7
3350,64.5
3360,63.7
3370,54.8
3380,53.5
3390,52.4
3400,59.2
3410,65
3420,53.4
3430,50.5
3440,63.9
3450,58.5
3460,53.4
3470,58.7
3480,54.3
3490,56.9
3500,58.4
3510,59.1
3520,50.4
3530,60.8
3540,59.5
3550,52.8
3560,56.2
3570,60.8
3580,59.9
3590,59.5
3600,47.5
3610,51.9
3620,50.4
3630,51.5
3640,53.5
3650,56.6
3660,55.5
3670,56.3
3680,56
3690,54.9
3700,52.9
3710,60.9
3720,51
3730,51.8
3740,62.6
3750,61.8
3760,55.2
3770,61.8
3780,56.1
3790,61
3800,53.2
3810,61.3
3820,61.5
3830,61.3
3840,58.6
3850,62.5
3860,55.1
3870,55.3
3880,55.3
3890,59.1
3900,56.4
3910,62.6
3920,53
3930,67.8
3940,56.5
3950,57
3960,60.7
3970,53.4
3980,61.2
3990,52.8
4000,61.5
4010,51.9
4020,53.9
4030,49.2
4040,60.2
4050,51.8
4060,66
4070,55.8
4080,59.5
4090,64.9
4100,56.7
4110,59.7
4120,63
4130,51.8
4140,52.1
4150,62.3
4160,48.6
4170,57
4180,58
4190,62.9
4200,47.5
4210,59.5
